items
"['H', 'M', 'P']"
"['E', 'G', 'J']"
"['C', 'D', 'I']"
"['C', 'H', 'M']"
"['H', 'P', 'Q']"
"['C', 'F', 'Q']"
"['D', 'H', 'O']"
"['H', 'J', 'M']"
"['K', 'L', 'N']"
"['B', 'C', 'N']"
"['C', 'D', 'L']"
"['A', 'G', 'Q']"
"['C', 'D', 'H']"
"['C', 'F', 'O']"
"['E', 'H', 'K']"
"['A', 'D', 'P']"
"['A', 'G', 'H']"
"['A', 'D', 'O']"
"['I', 'L', 'O']"
"['B', 'O', 'P']"
"['B', 'D', 'E']"
"['F', 'I', 'K']"
"['F', 'G', 'L']"
"['D', 'I', 'P']"
"['J', 'K', 'Q']"
"['K', 'N', 'O']"
"['B', 'D', 'F']"
"['F', 'K', 'N']"
"['G', 'I', 'J']"
"['C', 'E', 'L']"
"['B', 'E', 'G']"
"['G', 'H', 'M']"
"['F', 'M', 'Q']"
"['C', 'G', 'Q']"
"['A', 'D', 'G']"
"['C', 'I', 'Q']"
"['A', 'C', 'O']"
"['D', 'N', 'P']"
"['E', 'K', 'L']"
"['A', 'D', 'J']"
"['A', 'K', 'L']"
"['B', 'N', 'O']"
"['J', 'M', 'Q']"
"['B', 'H', 'N']"
"['B', 'I', 'N']"
"['D', 'H', 'J']"
"['B', 'K', 'Q']"
"['D', 'H', 'M']"
"['C', 'P', 'Q']"
"['B', 'E', 'M']"
"['D', 'O', 'Q']"
"['D', 'F', 'M']"
"['A', 'C', 'I']"
"['F', 'H', 'O']"
"['F', 'G', 'P']"
"['J', 'L', 'M']"
"['J', 'K', 'N']"
"['A', 'E', 'F']"
"['E', 'M', 'P']"
"['C', 'D', 'F']"
"['F', 'H', 'J']"
"['F', 'I', 'L']"
"['D', 'H', 'Q']"
"['B', 'D', 'K']"
"['K', 'N', 'Q']"
"['D', 'E', 'I']"
"['D', 'E', 'L']"
"['F', 'I', 'O']"
"['C', 'F', 'L']"
"['A', 'M', 'N']"
"['I', 'J', 'M']"
"['F', 'G', 'J']"
"['I', 'M', 'O']"
"['A', 'L', 'O']"
"['E', 'K', 'N']"
"['E', 'H', 'M']"
"['E', 'J', 'P']"
"['H', 'O', 'Q']"
"['B', 'D', 'P']"
"['E', 'G', 'I']"
"['A', 'E', 'G']"
"['F', 'G', 'Q']"
"['B', 'F', 'M']"
"['A', 'J', 'M']"
