items
"['B', 'L', 'P', 'Q']"
"['A', 'F', 'J', 'N']"
"['D', 'I', 'M', 'O']"
"['A', 'E', 'H', 'I']"
"['J', 'K', 'O', 'Q']"
"['C', 'D', 'L', 'M']"
"['F', 'G', 'K', 'L']"
"['E', 'H', 'L', 'P']"
"['G', 'H', 'K', 'M']"
"['J', 'L', 'N', 'O']"
"['E', 'F', 'P', 'Q']"
"['A', 'I', 'O', 'Q']"
"['D', 'E', 'G', 'Q']"
"['B', 'D', 'M', 'N']"
"['B', 'G', 'K', 'N']"
"['A', 'F', 'J', 'M']"
"['F', 'I', 'J', 'Q']"
"['D', 'E', 'K', 'O']"
"['A', 'F', 'I', 'L']"
"['B', 'I', 'K', 'O']"
"['G', 'M', 'N', 'P']"
"['C', 'N', 'O', 'P']"
"['C', 'F', 'J', 'O']"
"['A', 'B', 'G', 'I']"
"['F', 'H', 'I', 'J']"
"['F', 'J', 'O', 'Q']"
"['A', 'E', 'G', 'M']"
"['B', 'D', 'N', 'Q']"
"['B', 'J', 'O', 'Q']"
"['A', 'B', 'C', 'M']"
"['A', 'N', 'P', 'Q']"
"['B', 'C', 'G', 'Q']"
"['B', 'I', 'L', 'N']"
"['E', 'L', 'M', 'N']"
"['D', 'G', 'I', 'L']"
"['F', 'G', 'H', 'K']"
"['A', 'E', 'L', 'P']"
"['E', 'K', 'P', 'Q']"
"['C', 'J', 'N', 'Q']"
"['A', 'H', 'J', 'O']"
"['D', 'F', 'K', 'L']"
"['C', 'J', 'M', 'P']"
"['H', 'K', 'P', 'Q']"
"['A', 'F', 'I', 'K']"
"['A', 'B', 'D', 'P']"
"['E', 'H', 'L', 'O']"
"['C', 'D', 'F', 'G']"
"['C', 'J', 'M', 'O']"
"['C', 'H', 'M', 'P']"
"['B', 'C', 'F', 'L']"
"['A', 'D', 'G', 'P']"
"['F', 'H', 'I', 'P']"
"['F', 'H', 'K', 'L']"
"['D', 'G', 'M', 'O']"
"['B', 'H', 'I', 'M']"
"['E', 'F', 'I', 'L']"
"['F', 'J', 'K', 'P']"
"['C', 'F', 'I', 'Q']"
"['A', 'N', 'O', 'Q']"
"['D', 'H', 'O', 'Q']"
"['H', 'J', 'L', 'O']"
"['B', 'G', 'L', 'N']"
"['C', 'E', 'I', 'M']"
"['D', 'K', 'O', 'P']"
"['C', 'D', 'K', 'O']"
"['C', 'J', 'K', 'P']"
"['A', 'D', 'J', 'K']"
"['F', 'L', 'N', 'P']"
"['D', 'J', 'M', 'P']"
"['B', 'D', 'G', 'O']"
"['F', 'O', 'P', 'Q']"
"['G', 'I', 'J', 'Q']"
"['E', 'G', 'K', 'L']"
"['D', 'G', 'J', 'O']"
"['A', 'B', 'J', 'P']"
"['A', 'L', 'O', 'Q']"
"['C', 'I', 'J', 'K']"
"['I', 'M', 'N', 'P']"
"['A', 'G', 'M', 'Q']"
"['A', 'B', 'G', 'K']"
"['A', 'B', 'D', 'I']"
"['G', 'H', 'I', 'M']"
"['I', 'K', 'N', 'P']"
"['J', 'N', 'P', 'Q']"
"['D', 'E', 'L', 'O']"
"['D', 'H', 'J', 'Q']"
"['F', 'I', 'J', 'O']"
"['A', 'H', 'L', 'N']"
"['H', 'I', 'L', 'P']"
"['A', 'D', 'K', 'O']"
"['D', 'K', 'L', 'M']"
"['D', 'I', 'L', 'N']"
"['B', 'G', 'N', 'P']"
"['C', 'F', 'I', 'N']"
"['B', 'E', 'H', 'N']"
"['G', 'H', 'L', 'P']"
"['A', 'J', 'N', 'O']"
"['A', 'C', 'H', 'L']"
"['J', 'K', 'M', 'O']"
"['C', 'F', 'I', 'O']"
"['B', 'E', 'O', 'P']"
"['A', 'E', 'H', 'M']"
"['A', 'E', 'J', 'L']"
"['E', 'J', 'K', 'N']"
"['B', 'D', 'N', 'P']"
"['C', 'D', 'H', 'M']"
"['B', 'H', 'I', 'O']"
"['E', 'F', 'H', 'P']"
"['B', 'G', 'I', 'L']"
"['A', 'B', 'D', 'F']"
"['D', 'H', 'K', 'P']"
"['C', 'E', 'H', 'L']"
"['B', 'C', 'H', 'I']"
"['B', 'C', 'G', 'I']"
"['B', 'D', 'E', 'K']"
"['B', 'F', 'L', 'P']"
"['A', 'G', 'H', 'P']"
"['C', 'E', 'H', 'O']"
"['A', 'B', 'E', 'N']"
"['A', 'B', 'P', 'Q']"
"['A', 'G', 'H', 'Q']"
"['A', 'H', 'O', 'P']"
"['F', 'M', 'O', 'P']"
"['B', 'D', 'P', 'Q']"
"['C', 'D', 'G', 'I']"
"['F', 'J', 'N', 'P']"
"['G', 'H', 'K', 'N']"
"['F', 'I', 'K', 'Q']"
"['A', 'C', 'G', 'O']"
"['B', 'E', 'F', 'L']"
"['A', 'C', 'N', 'Q']"
"['A', 'D', 'J', 'N']"
"['A', 'H', 'J', 'K']"
"['E', 'F', 'K', 'L']"
"['J', 'M', 'P', 'Q']"
"['B', 'F', 'G', 'N']"
"['D', 'F', 'J', 'K']"
"['A', 'C', 'L', 'O']"
"['D', 'F', 'M', 'O']"
"['A', 'B', 'E', 'H']"
"['A', 'D', 'K', 'M']"
"['C', 'G', 'L', 'N']"
"['A', 'D', 'F', 'G']"
"['D', 'E', 'I', 'Q']"
"['C', 'D', 'H', 'Q']"
"['D', 'F', 'L', 'O']"
"['A', 'D', 'G', 'L']"
"['A', 'E', 'F', 'K']"
"['B', 'G', 'J', 'Q']"
"['C', 'I', 'K', 'Q']"
"['D', 'G', 'K', 'Q']"
"['A', 'B', 'K', 'N']"
"['A', 'C', 'G', 'L']"
"['B', 'H', 'J', 'O']"
"['A', 'B', 'C', 'G']"
"['F', 'I', 'P', 'Q']"
"['A', 'J', 'L', 'N']"
"['C', 'E', 'M', 'N']"
"['C', 'G', 'O', 'P']"
"['F', 'J', 'K', 'M']"
"['E', 'M', 'P', 'Q']"
"['A', 'B', 'E', 'M']"
"['A', 'H', 'I', 'Q']"
"['C', 'E', 'M', 'O']"
"['D', 'G', 'N', 'O']"
"['H', 'L', 'N', 'O']"
"['H', 'I', 'L', 'M']"
"['A', 'D', 'F', 'I']"
"['F', 'G', 'O', 'P']"
"['E', 'G', 'M', 'Q']"
"['F', 'H', 'J', 'N']"
"['F', 'L', 'M', 'N']"
"['K', 'N', 'P', 'Q']"
"['B', 'D', 'G', 'N']"
"['B', 'F', 'L', 'O']"
"['D', 'K', 'L', 'N']"
"['C', 'D', 'M', 'N']"
"['B', 'D', 'G', 'L']"
"['B', 'L', 'M', 'P']"
"['E', 'I', 'M', 'O']"
"['B', 'F', 'J', 'N']"
"['A', 'F', 'G', 'K']"
"['D', 'G', 'N', 'Q']"
"['D', 'F', 'H', 'P']"
"['B', 'C', 'L', 'N']"
"['C', 'D', 'G', 'L']"
"['B', 'E', 'K', 'N']"
"['B', 'H', 'J', 'K']"
"['A', 'C', 'G', 'H']"
"['E', 'G', 'H', 'J']"
"['A', 'D', 'E', 'P']"
"['G', 'H', 'M', 'Q']"
"['A', 'L', 'M', 'P']"
"['C', 'E', 'O', 'P']"
"['B', 'F', 'L', 'Q']"
"['A', 'F', 'H', 'O']"
"['A', 'E', 'G', 'P']"
"['B', 'D', 'H', 'I']"
"['I', 'K', 'O', 'Q']"
"['F', 'K', 'O', 'P']"
"['A', 'F', 'G', 'L']"
"['A', 'E', 'F', 'L']"
"['C', 'D', 'K', 'P']"
"['D', 'J', 'N', 'P']"
"['D', 'E', 'K', 'L']"
"['F', 'L', 'N', 'O']"
"['J', 'L', 'O', 'P']"
