items
"['C', 'E', 'H', 'I', 'K']"
"['B', 'J', 'K', 'M', 'P']"
"['A', 'B', 'F', 'H', 'J']"
"['B', 'C', 'F', 'M', 'O']"
"['A', 'D', 'F', 'M', 'O']"
"['I', 'L', 'M', 'O', 'Q']"
"['G', 'J', 'K', 'N', 'Q']"
"['C', 'F', 'I', 'K', 'Q']"
"['B', 'C', 'E', 'F', 'J']"
"['C', 'G', 'J', 'M', 'Q']"
"['B', 'G', 'I', 'J', 'O']"
"['H', 'K', 'L', 'P', 'Q']"
"['A', 'B', 'K', 'P', 'Q']"
"['B', 'C', 'E', 'H', 'N']"
"['A', 'B', 'G', 'O', 'P']"
"['D', 'L', 'N', 'O', 'P']"
"['A', 'G', 'H', 'P', 'Q']"
"['E', 'H', 'J', 'O', 'Q']"
"['A', 'C', 'L', 'P', 'Q']"
"['C', 'D', 'F', 'I', 'P']"
"['B', 'D', 'L', 'N', 'Q']"
"['B', 'D', 'E', 'H', 'Q']"
"['B', 'E', 'H', 'I', 'P']"
"['A', 'B', 'H', 'J', 'N']"
"['A', 'D', 'H', 'M', 'N']"
"['A', 'B', 'G', 'K', 'O']"
"['D', 'G', 'I', 'J', 'Q']"
"['B', 'D', 'G', 'P', 'Q']"
"['A', 'B', 'D', 'E', 'G']"
"['A', 'B', 'L', 'O', 'P']"
"['C', 'E', 'F', 'O', 'P']"
"['A', 'C', 'L', 'M', 'P']"
"['A', 'J', 'K', 'N', 'P']"
"['A', 'F', 'J', 'N', 'Q']"
"['A', 'C', 'E', 'F', 'Q']"
"['A', 'E', 'G', 'I', 'K']"
"['B', 'G', 'H', 'J', 'M']"
"['A', 'C', 'K', 'P', 'Q']"
"['C', 'D', 'G', 'L', 'N']"
"['C', 'D', 'G', 'M', 'Q']"
"['B', 'C', 'D', 'L', 'M']"
"['C', 'E', 'G', 'H', 'M']"
"['C', 'I', 'J', 'L', 'O']"
"['C', 'H', 'J', 'K', 'M']"
"['B', 'D', 'F', 'H', 'Q']"
"['C', 'F', 'G', 'M', 'P']"
"['C', 'D', 'G', 'I', 'Q']"
"['C', 'E', 'H', 'I', 'N']"
"['A', 'E', 'F', 'M', 'P']"
"['A', 'F', 'H', 'P', 'Q']"
"['A', 'D', 'F', 'H', 'K']"
"['C', 'H', 'J', 'K', 'O']"
"['B', 'H', 'M', 'N', 'Q']"
"['A', 'C', 'E', 'I', 'K']"
"['B', 'H', 'L', 'M', 'Q']"
"['B', 'F', 'M', 'O', 'Q']"
"['E', 'G', 'J', 'K', 'P']"
"['B', 'C', 'M', 'N', 'O']"
"['A', 'C', 'D', 'F', 'K']"
"['G', 'I', 'K', 'L', 'O']"
"['B', 'E', 'J', 'M', 'Q']"
"['A', 'D', 'E', 'G', 'K']"
"['B', 'E', 'M', 'N', 'Q']"
"['D', 'G', 'M', 'O', 'P']"
"['E', 'I', 'K', 'L', 'M']"
"['I', 'M', 'N', 'O', 'P']"
"['A', 'H', 'I', 'J', 'L']"
"['E', 'G', 'H', 'J', 'L']"
"['A', 'C', 'D', 'J', 'Q']"
"['C', 'F', 'K', 'M', 'O']"
"['A', 'C', 'H', 'K', 'O']"
"['B', 'C', 'D', 'E', 'Q']"
"['I', 'J', 'K', 'O', 'Q']"
"['D', 'J', 'L', 'O', 'Q']"
"['D', 'N', 'O', 'P', 'Q']"
"['A', 'E', 'I', 'J', 'N']"
"['A', 'F', 'M', 'N', 'P']"
"['D', 'E', 'I', 'K', 'P']"
"['C', 'G', 'J', 'K', 'N']"
"['D', 'H', 'J', 'M', 'Q']"
"['B', 'D', 'E', 'J', 'Q']"
"['D', 'E', 'L', 'M', 'N']"
"['D', 'G', 'I', 'O', 'P']"
"['B', 'C', 'J', 'N', 'O']"
"['A', 'L', 'O', 'P', 'Q']"
"['A', 'D', 'F', 'H', 'N']"
"['A', 'D', 'F', 'L', 'O']"
"['D', 'H', 'N', 'P', 'Q']"
"['E', 'K', 'L', 'M', 'P']"
"['C', 'D', 'F', 'G', 'O']"
"['B', 'G', 'M', 'N', 'Q']"
"['A', 'G', 'H', 'J', 'Q']"
"['E', 'J', 'M', 'N', 'P']"
"['A', 'G', 'I', 'L', 'O']"
"['E', 'G', 'H', 'L', 'O']"
"['A', 'C', 'M', 'O', 'P']"
"['D', 'E', 'O', 'P', 'Q']"
"['B', 'C', 'L', 'M', 'P']"
"['A', 'F', 'I', 'J', 'L']"
"['E', 'G', 'I', 'M', 'Q']"
"['A', 'D', 'I', 'L', 'M']"
"['A', 'C', 'N', 'O', 'P']"
"['H', 'L', 'M', 'O', 'Q']"
"['A', 'B', 'F', 'G', 'N']"
"['F', 'G', 'J', 'L', 'P']"
"['A', 'F', 'I', 'K', 'P']"
"['B', 'D', 'I', 'L', 'P']"
"['A', 'D', 'E', 'H', 'N']"
"['A', 'J', 'L', 'N', 'O']"
"['D', 'F', 'I', 'J', 'Q']"
"['A', 'D', 'M', 'N', 'O']"
"['A', 'B', 'F', 'O', 'P']"
"['D', 'E', 'M', 'N', 'P']"
"['E', 'F', 'M', 'P', 'Q']"
"['G', 'H', 'N', 'P', 'Q']"
"['G', 'H', 'J', 'L', 'P']"
"['A', 'B', 'E', 'H', 'O']"
"['C', 'G', 'K', 'L', 'Q']"
"['J', 'N', 'O', 'P', 'Q']"
"['A', 'B', 'D', 'E', 'H']"
"['C', 'D', 'E', 'H', 'P']"
"['A', 'C', 'E', 'M', 'Q']"
"['I', 'J', 'K', 'N', 'P']"
"['A', 'F', 'K', 'M', 'P']"
"['C', 'E', 'F', 'H', 'O']"
"['B', 'F', 'H', 'L', 'M']"
"['C', 'D', 'H', 'J', 'N']"
"['E', 'F', 'I', 'L', 'M']"
"['A', 'F', 'H', 'L', 'N']"
"['H', 'K', 'N', 'O', 'P']"
"['C', 'H', 'K', 'M', 'O']"
"['B', 'C', 'I', 'J', 'Q']"
"['A', 'G', 'L', 'P', 'Q']"
"['A', 'B', 'D', 'G', 'O']"
"['B', 'D', 'H', 'M', 'P']"
"['G', 'M', 'N', 'O', 'P']"
"['A', 'B', 'C', 'N', 'O']"
"['B', 'E', 'G', 'I', 'Q']"
"['C', 'G', 'L', 'N', 'P']"
"['C', 'F', 'M', 'N', 'O']"
"['D', 'E', 'K', 'O', 'Q']"
"['C', 'E', 'G', 'J', 'M']"
"['A', 'J', 'K', 'O', 'P']"
"['B', 'E', 'J', 'M', 'N']"
"['B', 'D', 'F', 'L', 'O']"
"['A', 'B', 'G', 'H', 'J']"
"['C', 'D', 'E', 'I', 'Q']"
"['D', 'E', 'G', 'H', 'O']"
"['B', 'D', 'E', 'G', 'O']"
"['A', 'E', 'H', 'I', 'J']"
"['B', 'J', 'K', 'L', 'O']"
"['A', 'D', 'J', 'O', 'P']"
"['A', 'B', 'D', 'F', 'P']"
"['C', 'D', 'L', 'M', 'Q']"
"['C', 'D', 'F', 'I', 'K']"
"['E', 'F', 'H', 'K', 'O']"
"['D', 'H', 'M', 'P', 'Q']"
"['F', 'I', 'J', 'L', 'N']"
"['A', 'M', 'N', 'O', 'P']"
"['B', 'J', 'L', 'M', 'N']"
"['B', 'D', 'G', 'I', 'N']"
"['B', 'G', 'J', 'L', 'M']"
"['C', 'D', 'H', 'M', 'P']"
"['A', 'H', 'J', 'M', 'O']"
"['C', 'J', 'N', 'O', 'Q']"
"['E', 'K', 'M', 'N', 'P']"
"['B', 'M', 'O', 'P', 'Q']"
"['C', 'D', 'F', 'I', 'Q']"
"['A', 'C', 'I', 'M', 'Q']"
"['B', 'D', 'I', 'N', 'Q']"
"['A', 'E', 'G', 'K', 'Q']"
"['B', 'C', 'G', 'N', 'P']"
"['E', 'F', 'G', 'I', 'N']"
"['A', 'B', 'F', 'H', 'N']"
"['A', 'C', 'F', 'H', 'I']"
"['A', 'B', 'G', 'K', 'Q']"
"['A', 'H', 'J', 'N', 'P']"
"['A', 'B', 'E', 'N', 'O']"
"['D', 'E', 'I', 'N', 'O']"
"['H', 'J', 'K', 'M', 'Q']"
"['B', 'G', 'H', 'L', 'P']"
"['A', 'B', 'C', 'J', 'K']"
"['B', 'D', 'F', 'I', 'N']"
"['B', 'D', 'F', 'K', 'L']"
"['B', 'G', 'H', 'M', 'N']"
"['G', 'H', 'L', 'O', 'Q']"
"['A', 'G', 'H', 'O', 'Q']"
"['C', 'D', 'I', 'M', 'O']"
"['C', 'F', 'K', 'M', 'Q']"
"['D', 'E', 'K', 'M', 'O']"
"['A', 'J', 'L', 'N', 'P']"
"['C', 'E', 'H', 'M', 'N']"
"['A', 'G', 'J', 'L', 'P']"
"['A', 'B', 'H', 'K', 'M']"
"['A', 'C', 'E', 'F', 'O']"
"['D', 'H', 'L', 'O', 'P']"
"['F', 'H', 'L', 'M', 'Q']"
"['A', 'B', 'D', 'J', 'O']"
"['C', 'F', 'H', 'I', 'P']"
"['A', 'C', 'J', 'M', 'P']"
"['C', 'D', 'E', 'F', 'L']"
"['A', 'I', 'J', 'L', 'M']"
"['D', 'F', 'G', 'H', 'K']"
"['C', 'F', 'I', 'M', 'O']"
"['A', 'E', 'G', 'N', 'Q']"
"['C', 'D', 'E', 'I', 'L']"
"['I', 'K', 'L', 'M', 'P']"
"['B', 'C', 'D', 'H', 'Q']"
"['B', 'F', 'H', 'I', 'P']"
"['C', 'H', 'L', 'O', 'P']"
"['B', 'C', 'D', 'I', 'Q']"
"['A', 'C', 'D', 'K', 'Q']"
"['B', 'C', 'D', 'E', 'J']"
"['B', 'C', 'E', 'J', 'O']"
"['A', 'E', 'F', 'P', 'Q']"
"['A', 'D', 'K', 'N', 'O']"
"['A', 'E', 'G', 'L', 'N']"
"['D', 'H', 'L', 'O', 'Q']"
"['B', 'C', 'H', 'M', 'Q']"
"['D', 'E', 'F', 'K', 'L']"
"['B', 'C', 'H', 'K', 'O']"
"['C', 'E', 'I', 'J', 'K']"
"['A', 'B', 'C', 'J', 'L']"
"['G', 'I', 'J', 'L', 'Q']"
"['C', 'D', 'E', 'G', 'I']"
"['C', 'G', 'K', 'N', 'O']"
"['B', 'C', 'D', 'H', 'O']"
"['A', 'C', 'F', 'G', 'P']"
"['D', 'G', 'J', 'N', 'O']"
"['H', 'J', 'O', 'P', 'Q']"
"['A', 'F', 'M', 'O', 'P']"
"['E', 'H', 'K', 'O', 'Q']"
"['D', 'E', 'I', 'O', 'Q']"
"['A', 'E', 'F', 'L', 'P']"
"['C', 'D', 'G', 'H', 'M']"
"['A', 'C', 'D', 'H', 'M']"
"['E', 'K', 'N', 'P', 'Q']"
"['A', 'G', 'H', 'I', 'P']"
"['B', 'D', 'J', 'P', 'Q']"
"['B', 'C', 'F', 'H', 'I']"
"['A', 'D', 'G', 'H', 'K']"
"['C', 'G', 'O', 'P', 'Q']"
"['A', 'E', 'G', 'L', 'M']"
"['B', 'E', 'G', 'J', 'N']"
"['D', 'E', 'F', 'L', 'M']"
"['A', 'B', 'D', 'M', 'Q']"
"['F', 'G', 'I', 'L', 'P']"
"['F', 'G', 'I', 'J', 'K']"
"['E', 'G', 'K', 'P', 'Q']"
"['A', 'D', 'I', 'M', 'N']"
"['G', 'H', 'I', 'J', 'O']"
"['A', 'C', 'E', 'H', 'J']"
"['E', 'J', 'K', 'L', 'P']"
"['H', 'K', 'L', 'M', 'O']"
"['C', 'E', 'H', 'N', 'O']"
"['D', 'F', 'I', 'M', 'N']"
"['A', 'B', 'M', 'N', 'P']"
"['B', 'F', 'H', 'K', 'O']"
"['A', 'B', 'H', 'I', 'Q']"
"['A', 'F', 'I', 'J', 'O']"
"['C', 'D', 'F', 'L', 'O']"
"['A', 'B', 'G', 'I', 'P']"
"['C', 'D', 'H', 'M', 'Q']"
"['D', 'F', 'I', 'K', 'O']"
"['D', 'E', 'G', 'N', 'Q']"
"['A', 'C', 'I', 'M', 'N']"
"['B', 'C', 'D', 'E', 'K']"
"['F', 'J', 'K', 'M', 'O']"
"['G', 'I', 'M', 'N', 'Q']"
"['D', 'L', 'M', 'O', 'Q']"
"['B', 'E', 'G', 'I', 'O']"
"['A', 'B', 'G', 'H', 'L']"
"['B', 'D', 'J', 'M', 'Q']"
"['C', 'E', 'J', 'M', 'P']"
"['A', 'B', 'J', 'P', 'Q']"
"['B', 'F', 'H', 'I', 'L']"
"['E', 'H', 'I', 'P', 'Q']"
"['B', 'E', 'J', 'O', 'Q']"
"['B', 'L', 'N', 'O', 'P']"
"['G', 'K', 'L', 'M', 'N']"
"['A', 'B', 'D', 'G', 'I']"
"['A', 'E', 'G', 'P', 'Q']"
"['B', 'C', 'E', 'H', 'M']"
"['A', 'F', 'L', 'M', 'P']"
"['C', 'H', 'L', 'M', 'P']"
"['A', 'E', 'F', 'G', 'L']"
"['H', 'L', 'N', 'O', 'Q']"
"['B', 'D', 'E', 'J', 'M']"
"['F', 'K', 'M', 'P', 'Q']"
"['A', 'D', 'G', 'N', 'O']"
"['J', 'K', 'N', 'O', 'P']"
"['E', 'G', 'H', 'P', 'Q']"
"['C', 'E', 'G', 'N', 'P']"
"['B', 'I', 'K', 'P', 'Q']"
"['D', 'E', 'I', 'J', 'K']"
"['B', 'J', 'L', 'P', 'Q']"
