items
"['B', 'D', 'F', 'I', 'K', 'N']"
"['B', 'G', 'H', 'I', 'M', 'N']"
"['A', 'C', 'J', 'K', 'M', 'N']"
"['B', 'C', 'F', 'I', 'O', 'Q']"
"['G', 'H', 'K', 'L', 'M', 'O']"
"['A', 'D', 'F', 'G', 'N', 'O']"
"['E', 'G', 'H', 'L', 'P', 'Q']"
"['A', 'C', 'E', 'H', 'K', 'Q']"
"['D', 'F', 'I', 'K', 'M', 'O']"
"['A', 'F', 'G', 'I', 'J', 'N']"
"['D', 'F', 'H', 'L', 'M', 'O']"
"['A', 'B', 'D', 'H', 'I', 'O']"
"['A', 'D', 'F', 'I', 'K', 'L']"
"['B', 'C', 'E', 'G', 'I', 'L']"
"['D', 'F', 'N', 'O', 'P', 'Q']"
"['A', 'E', 'G', 'K', 'N', 'P']"
"['A', 'I', 'J', 'L', 'M', 'P']"
"['B', 'C', 'D', 'E', 'K', 'N']"
"['B', 'D', 'E', 'G', 'P', 'Q']"
"['B', 'D', 'K', 'L', 'P', 'Q']"
"['G', 'H', 'I', 'K', 'N', 'P']"
"['A', 'B', 'E', 'L', 'O', 'Q']"
"['D', 'F', 'L', 'N', 'P', 'Q']"
"['F', 'H', 'J', 'K', 'M', 'O']"
"['F', 'G', 'J', 'O', 'P', 'Q']"
"['D', 'F', 'H', 'J', 'M', 'P']"
"['F', 'J', 'K', 'L', 'O', 'P']"
"['D', 'H', 'I', 'L', 'M', 'O']"
"['H', 'J', 'K', 'L', 'N', 'P']"
"['D', 'G', 'M', 'O', 'P', 'Q']"
"['A', 'B', 'F', 'H', 'J', 'P']"
"['D', 'G', 'I', 'N', 'P', 'Q']"
"['C', 'F', 'G', 'L', 'N', 'P']"
"['B', 'C', 'D', 'M', 'O', 'P']"
"['C', 'D', 'E', 'F', 'H', 'M']"
"['A', 'B', 'C', 'F', 'K', 'O']"
"['A', 'B', 'F', 'K', 'L', 'P']"
"['C', 'E', 'H', 'I', 'O', 'P']"
"['A', 'B', 'E', 'J', 'K', 'O']"
"['A', 'C', 'J', 'K', 'L', 'Q']"
"['B', 'F', 'G', 'N', 'P', 'Q']"
"['A', 'B', 'C', 'D', 'H', 'M']"
"['D', 'F', 'G', 'I', 'J', 'P']"
"['C', 'D', 'I', 'K', 'O', 'Q']"
"['B', 'C', 'E', 'F', 'L', 'M']"
"['D', 'F', 'H', 'I', 'J', 'M']"
"['D', 'G', 'J', 'K', 'L', 'M']"
"['D', 'G', 'J', 'K', 'L', 'P']"
"['C', 'F', 'H', 'J', 'M', 'O']"
"['E', 'I', 'L', 'N', 'O', 'P']"
"['A', 'G', 'H', 'J', 'O', 'Q']"
"['C', 'F', 'G', 'H', 'O', 'P']"
"['B', 'E', 'H', 'L', 'M', 'N']"
"['E', 'G', 'K', 'M', 'P', 'Q']"
"['C', 'J', 'L', 'M', 'P', 'Q']"
"['C', 'D', 'G', 'L', 'N', 'P']"
"['A', 'C', 'E', 'G', 'H', 'N']"
"['C', 'D', 'F', 'H', 'I', 'M']"
"['A', 'E', 'F', 'I', 'N', 'Q']"
"['A', 'H', 'K', 'M', 'N', 'O']"
"['F', 'J', 'K', 'L', 'M', 'N']"
"['G', 'J', 'K', 'L', 'M', 'Q']"
"['A', 'C', 'D', 'J', 'L', 'M']"
"['F', 'H', 'K', 'L', 'O', 'Q']"
"['B', 'F', 'H', 'I', 'M', 'N']"
"['A', 'C', 'F', 'G', 'J', 'L']"
"['A', 'E', 'F', 'L', 'M', 'P']"
"['E', 'J', 'K', 'L', 'M', 'N']"
"['B', 'I', 'J', 'L', 'M', 'N']"
"['D', 'I', 'K', 'L', 'N', 'Q']"
"['B', 'F', 'G', 'H', 'N', 'P']"
"['B', 'F', 'J', 'K', 'M', 'Q']"
"['A', 'C', 'E', 'I', 'J', 'K']"
"['C', 'E', 'F', 'L', 'N', 'Q']"
"['B', 'D', 'I', 'K', 'P', 'Q']"
"['F', 'H', 'L', 'M', 'O', 'Q']"
"['E', 'H', 'I', 'M', 'O', 'Q']"
"['B', 'C', 'E', 'F', 'J', 'O']"
"['F', 'G', 'K', 'L', 'N', 'P']"
"['A', 'H', 'L', 'M', 'N', 'Q']"
"['A', 'G', 'H', 'J', 'N', 'P']"
"['A', 'H', 'K', 'M', 'N', 'P']"
"['D', 'E', 'F', 'G', 'I', 'K']"
"['A', 'G', 'H', 'K', 'O', 'P']"
"['D', 'E', 'G', 'H', 'I', 'J']"
"['A', 'E', 'I', 'J', 'M', 'P']"
"['C', 'E', 'J', 'K', 'M', 'O']"
"['D', 'F', 'K', 'L', 'N', 'Q']"
"['B', 'E', 'H', 'N', 'P', 'Q']"
"['E', 'J', 'L', 'M', 'P', 'Q']"
"['D', 'I', 'L', 'N', 'O', 'P']"
"['C', 'E', 'G', 'K', 'O', 'P']"
"['D', 'G', 'H', 'I', 'O', 'P']"
"['B', 'F', 'L', 'M', 'O', 'P']"
"['C', 'E', 'H', 'I', 'M', 'Q']"
"['A', 'C', 'G', 'K', 'O', 'P']"
"['E', 'G', 'H', 'J', 'M', 'O']"
"['A', 'C', 'D', 'F', 'L', 'P']"
"['H', 'I', 'K', 'M', 'O', 'Q']"
"['D', 'E', 'H', 'J', 'K', 'N']"
"['D', 'E', 'F', 'I', 'J', 'Q']"
"['D', 'F', 'H', 'I', 'N', 'P']"
"['A', 'D', 'I', 'J', 'O', 'Q']"
"['C', 'G', 'I', 'J', 'M', 'N']"
"['C', 'J', 'K', 'N', 'O', 'Q']"
"['D', 'E', 'J', 'N', 'O', 'Q']"
"['A', 'B', 'C', 'J', 'K', 'M']"
"['C', 'F', 'H', 'K', 'L', 'P']"
"['A', 'D', 'G', 'I', 'M', 'Q']"
"['C', 'J', 'K', 'L', 'M', 'Q']"
"['B', 'C', 'F', 'G', 'N', 'P']"
"['B', 'H', 'L', 'N', 'O', 'Q']"
"['B', 'F', 'K', 'M', 'N', 'Q']"
"['C', 'E', 'I', 'K', 'L', 'P']"
"['C', 'D', 'E', 'G', 'H', 'Q']"
"['D', 'G', 'I', 'L', 'O', 'Q']"
"['A', 'E', 'G', 'H', 'M', 'Q']"
"['A', 'B', 'E', 'F', 'H', 'Q']"
"['A', 'C', 'E', 'H', 'K', 'M']"
"['A', 'I', 'K', 'L', 'N', 'O']"
"['A', 'F', 'I', 'K', 'L', 'N']"
"['C', 'E', 'F', 'G', 'H', 'J']"
"['B', 'E', 'G', 'K', 'L', 'P']"
"['A', 'C', 'F', 'G', 'K', 'M']"
"['F', 'G', 'L', 'M', 'N', 'O']"
"['A', 'B', 'C', 'D', 'K', 'N']"
"['B', 'E', 'F', 'K', 'P', 'Q']"
"['A', 'B', 'I', 'J', 'N', 'Q']"
"['A', 'C', 'E', 'I', 'K', 'M']"
"['D', 'E', 'I', 'J', 'P', 'Q']"
"['D', 'G', 'H', 'M', 'N', 'O']"
"['B', 'D', 'G', 'O', 'P', 'Q']"
"['D', 'E', 'G', 'H', 'I', 'L']"
"['E', 'H', 'J', 'M', 'O', 'Q']"
"['B', 'H', 'I', 'J', 'N', 'O']"
"['E', 'F', 'H', 'I', 'K', 'O']"
"['B', 'C', 'F', 'H', 'K', 'M']"
"['E', 'G', 'K', 'O', 'P', 'Q']"
"['A', 'C', 'E', 'H', 'N', 'Q']"
"['A', 'D', 'H', 'J', 'K', 'N']"
"['C', 'D', 'E', 'L', 'M', 'O']"
"['C', 'G', 'I', 'K', 'O', 'P']"
"['A', 'D', 'L', 'M', 'O', 'P']"
"['A', 'D', 'F', 'G', 'M', 'P']"
"['C', 'F', 'K', 'L', 'M', 'N']"
"['C', 'G', 'J', 'L', 'N', 'P']"
"['B', 'E', 'G', 'N', 'O', 'P']"
