items
"['B', 'C', 'I', 'L', 'M', 'N', 'P']"
"['A', 'E', 'G', 'I', 'M', 'O', 'P']"
"['A', 'B', 'E', 'F', 'I', 'K', 'O']"
"['B', 'D', 'E', 'G', 'H', 'L', 'O']"
"['A', 'B', 'D', 'I', 'L', 'P', 'Q']"
"['A', 'C', 'G', 'L', 'M', 'P', 'Q']"
"['B', 'F', 'H', 'J', 'M', 'P', 'Q']"
"['C', 'D', 'F', 'G', 'J', 'N', 'P']"
"['A', 'C', 'D', 'E', 'F', 'G', 'I']"
"['C', 'D', 'F', 'K', 'M', 'N', 'P']"
"['E', 'G', 'H', 'I', 'L', 'N', 'Q']"
"['B', 'D', 'E', 'I', 'J', 'O', 'Q']"
"['C', 'F', 'I', 'J', 'N', 'P', 'Q']"
"['B', 'C', 'F', 'I', 'J', 'K', 'Q']"
"['J', 'K', 'M', 'N', 'O', 'P', 'Q']"
"['A', 'G', 'H', 'I', 'L', 'N', 'P']"
"['B', 'C', 'D', 'J', 'K', 'M', 'O']"
"['A', 'D', 'F', 'J', 'L', 'O', 'Q']"
"['B', 'C', 'I', 'J', 'L', 'O', 'Q']"
"['B', 'F', 'G', 'J', 'K', 'L', 'O']"
"['A', 'B', 'D', 'I', 'J', 'L', 'P']"
"['E', 'H', 'I', 'K', 'L', 'M', 'P']"
"['A', 'B', 'G', 'L', 'N', 'O', 'P']"
"['A', 'C', 'F', 'G', 'K', 'M', 'N']"
"['G', 'H', 'J', 'K', 'M', 'O', 'P']"
"['C', 'D', 'F', 'G', 'I', 'M', 'Q']"
"['D', 'F', 'H', 'L', 'M', 'N', 'P']"
"['A', 'F', 'G', 'L', 'M', 'O', 'Q']"
"['E', 'F', 'H', 'K', 'O', 'P', 'Q']"
"['E', 'G', 'H', 'I', 'K', 'O', 'P']"
"['A', 'D', 'E', 'F', 'M', 'P', 'Q']"
"['D', 'E', 'J', 'K', 'L', 'N', 'O']"
"['D', 'E', 'G', 'K', 'L', 'M', 'N']"
"['A', 'C', 'F', 'G', 'H', 'J', 'Q']"
"['A', 'D', 'E', 'H', 'I', 'K', 'N']"
"['C', 'G', 'H', 'J', 'K', 'N', 'P']"
"['B', 'D', 'G', 'K', 'L', 'M', 'Q']"
"['A', 'C', 'G', 'I', 'J', 'K', 'L']"
"['A', 'B', 'E', 'I', 'L', 'O', 'P']"
"['B', 'E', 'F', 'K', 'M', 'N', 'Q']"
"['E', 'F', 'G', 'J', 'K', 'L', 'P']"
"['E', 'F', 'H', 'L', 'N', 'O', 'P']"
"['A', 'B', 'I', 'J', 'N', 'P', 'Q']"
"['A', 'B', 'E', 'F', 'I', 'L', 'P']"
"['B', 'F', 'G', 'J', 'L', 'M', 'P']"
"['A', 'G', 'I', 'J', 'N', 'P', 'Q']"
"['A', 'F', 'H', 'J', 'K', 'M', 'O']"
"['D', 'E', 'G', 'L', 'M', 'N', 'O']"
"['C', 'D', 'F', 'G', 'J', 'O', 'P']"
"['B', 'G', 'K', 'L', 'M', 'N', 'O']"
"['C', 'D', 'F', 'L', 'M', 'P', 'Q']"
"['E', 'H', 'I', 'L', 'M', 'N', 'Q']"
"['H', 'I', 'J', 'K', 'L', 'M', 'Q']"
"['B', 'C', 'D', 'E', 'F', 'G', 'M']"
"['C', 'D', 'E', 'F', 'G', 'L', 'M']"
"['F', 'G', 'I', 'J', 'L', 'N', 'P']"
"['A', 'C', 'F', 'H', 'J', 'M', 'O']"
"['C', 'D', 'E', 'F', 'G', 'L', 'O']"
"['C', 'E', 'F', 'H', 'L', 'O', 'P']"
"['A', 'D', 'E', 'J', 'L', 'N', 'Q']"
"['E', 'F', 'K', 'M', 'O', 'P', 'Q']"
"['E', 'F', 'G', 'H', 'I', 'L', 'N']"
"['F', 'I', 'J', 'K', 'M', 'N', 'O']"
"['B', 'C', 'E', 'G', 'I', 'O', 'Q']"
"['A', 'C', 'E', 'F', 'H', 'K', 'M']"
"['B', 'C', 'D', 'I', 'K', 'O', 'P']"
"['A', 'B', 'C', 'F', 'K', 'M', 'Q']"
"['A', 'D', 'E', 'F', 'H', 'M', 'O']"
"['D', 'E', 'F', 'G', 'J', 'O', 'Q']"
"['A', 'C', 'E', 'G', 'I', 'K', 'Q']"
"['B', 'G', 'I', 'L', 'M', 'P', 'Q']"
"['C', 'D', 'I', 'J', 'M', 'N', 'Q']"
"['C', 'E', 'G', 'I', 'J', 'K', 'Q']"
"['C', 'D', 'F', 'I', 'L', 'O', 'P']"
"['A', 'F', 'H', 'J', 'L', 'O', 'Q']"
"['F', 'H', 'I', 'L', 'O', 'P', 'Q']"
"['F', 'G', 'I', 'K', 'M', 'O', 'Q']"
"['B', 'D', 'F', 'J', 'K', 'M', 'N']"
"['A', 'F', 'H', 'I', 'J', 'K', 'N']"
"['C', 'D', 'E', 'F', 'G', 'K', 'P']"
"['C', 'E', 'F', 'G', 'I', 'O', 'P']"
"['B', 'G', 'I', 'J', 'L', 'N', 'P']"
"['A', 'F', 'I', 'J', 'K', 'M', 'O']"
"['A', 'D', 'G', 'H', 'J', 'K', 'O']"
"['A', 'D', 'G', 'K', 'M', 'P', 'Q']"
"['B', 'C', 'G', 'H', 'K', 'O', 'Q']"
"['A', 'C', 'E', 'G', 'J', 'K', 'L']"
"['C', 'E', 'G', 'H', 'L', 'M', 'O']"
"['C', 'E', 'I', 'K', 'M', 'N', 'Q']"
"['A', 'C', 'D', 'M', 'O', 'P', 'Q']"
"['D', 'E', 'H', 'K', 'M', 'N', 'O']"
"['A', 'B', 'D', 'I', 'L', 'M', 'O']"
"['C', 'D', 'E', 'G', 'I', 'M', 'Q']"
"['B', 'F', 'H', 'I', 'J', 'L', 'M']"
"['C', 'D', 'F', 'L', 'M', 'N', 'P']"
"['A', 'E', 'G', 'J', 'K', 'M', 'Q']"
"['A', 'B', 'D', 'G', 'K', 'L', 'O']"
"['B', 'D', 'G', 'H', 'I', 'M', 'Q']"
"['A', 'E', 'F', 'G', 'K', 'O', 'P']"
"['A', 'C', 'D', 'I', 'K', 'L', 'M']"
"['A', 'E', 'H', 'I', 'L', 'O', 'Q']"
"['B', 'D', 'E', 'F', 'I', 'L', 'N']"
"['B', 'C', 'I', 'J', 'L', 'M', 'P']"
